Page Size    # of Frames    PR Algorithm        Page Faults % 
1024          8              MRU                 35.2941%
1024          8              OPT                 35.2941%
1024          12              FIFO                35.2941%
1024          12              LRU                 35.2941%
1024          12              MRU                 35.2941%
1024          12              OPT                 35.2941%
2048          4              FIFO                23.5294%
2048          4              LRU                 23.5294%
2048          4              MRU                 23.5294%
2048          4              OPT                 23.5294%
2048          8              FIFO                23.5294%
2048          8              LRU                 23.5294%
2048          8              MRU                 23.5294%
2048          8              OPT                 23.5294%
2048          12              FIFO                23.5294%
2048          12              LRU                 23.5294%
2048          12              MRU                 23.5294%
2048          12              OPT                 23.5294%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                58.8235%
512          4              LRU                 52.9412%
512          4              MRU                 41.1765%
512          4              OPT                 41.1765%
512          8              FIFO                41.1765%
512          8              LRU                 41.1765%
512          8              MRU                 41.1765%
512          8              OPT                 41.1765%
512          12              FIFO                41.1765%
512          12              LRU                 41.1765%
512          12              MRU                 41.1765%
512          12              OPT                 41.1765%
1024          4              FIFO                52.9412%
1024          4              LRU                 41.1765%
1024          4              MRU                 35.2941%
1024          4              OPT                 35.2941%
1024          8              FIFO                35.2941%
1024          8              LRU                 35.2941%
1024          8              MRU                 35.2941%
1024          8              OPT                 35.2941%
1024          12              FIFO                35.2941%
1024          12              LRU                 35.2941%
1024          12              MRU                 35.2941%
1024          12              OPT                 35.2941%
2048          4              FIFO                23.5294%
2048          4              LRU                 23.5294%
2048          4              MRU                 23.5294%
2048          4              OPT                 23.5294%
2048          8              FIFO                23.5294%
2048          8              LRU                 23.5294%
2048          8              MRU                 23.5294%
2048          8              OPT                 23.5294%
2048          12              FIFO                23.5294%
2048          12              LRU                 23.5294%
2048          12              MRU                 23.5294%
2048          12              OPT                 23.5294%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                79.5918%
512          4              LRU                 79.5918%
512          4              MRU                 77.551%
512          4              OPT                 78.5714%
512          8              FIFO                54.0816%
512          8              LRU                 58.1633%
512          8              MRU                 61.2245%
512          8              OPT                 52.0408%
512          12              FIFO                43.8776%
512          12              LRU                 37.7551%
512          12              MRU                 40.8163%
512          12              OPT                 29.5918%
1024          4              FIFO                79.5918%
1024          4              LRU                 79.5918%
1024          4              MRU                 75.5102%
1024          4              OPT                 77.551%
1024          8              FIFO                48.9796%
1024          8              LRU                 54.0816%
1024          8              MRU                 60.2041%
1024          8              OPT                 44.898%
1024          12              FIFO                39.7959%
1024          12              LRU                 30.6122%
1024          12              MRU                 32.6531%
1024          12              OPT                 25.5102%
2048          4              FIFO                65.3061%
2048          4              LRU                 61.2245%
2048          4              MRU                 56.1224%
2048          4              OPT                 58.1633%
2048          8              FIFO                32.6531%
2048          8              LRU                 28.5714%
2048          8              MRU                 40.8163%
2048          8              OPT                 30.6122%
2048          12              FIFO                26.5306%
2048          12              LRU                 18.3673%
2048          12              MRU                 14.2857%
2048          12              OPT                 15.3061%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                79.5918%
512          4              LRU                 79.5918%
512          4              MRU                 77.551%
512          4              OPT                 78.5714%
512          8              FIFO                54.0816%
512          8              LRU                 58.1633%
512          8              MRU                 61.2245%
512          8              OPT                 52.0408%
512          12              FIFO                43.8776%
512          12              LRU                 37.7551%
512          12              MRU                 40.8163%
512          12              OPT                 29.5918%
1024          4              FIFO                79.5918%
1024          4              LRU                 79.5918%
1024          4              MRU                 75.5102%
1024          4              OPT                 77.551%
1024          8              FIFO                48.9796%
1024          8              LRU                 54.0816%
1024          8              MRU                 60.2041%
1024          8              OPT                 44.898%
1024          12              FIFO                39.7959%
1024          12              LRU                 30.6122%
1024          12              MRU                 32.6531%
1024          12              OPT                 25.5102%
2048          4              FIFO                65.3061%
2048          4              LRU                 61.2245%
2048          4              MRU                 56.1224%
2048          4              OPT                 58.1633%
2048          8              FIFO                32.6531%
2048          8              LRU                 28.5714%
2048          8              MRU                 40.8163%
2048          8              OPT                 30.6122%
2048          12              FIFO                26.5306%
2048          12              LRU                 18.3673%
2048          12              MRU                 14.2857%
2048          12              OPT                 15.3061%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                78.1818%
512          4              LRU                 80%
512          4              MRU                 75.4545%
512          4              OPT                 65.4545%
512          8              FIFO                55.4545%
512          8              LRU                 60%
512          8              MRU                 60.9091%
512          8              OPT                 42.7273%
512          12              FIFO                36.3636%
512          12              LRU                 42.7273%
512          12              MRU                 34.5455%
512          12              OPT                 27.2727%
1024          4              FIFO                78.1818%
1024          4              LRU                 77.2727%
1024          4              MRU                 71.8182%
1024          4              OPT                 62.7273%
1024          8              FIFO                50.9091%
1024          8              LRU                 55.4545%
1024          8              MRU                 48.1818%
1024          8              OPT                 37.2727%
1024          12              FIFO                30%
1024          12              LRU                 35.4545%
1024          12              MRU                 25.4545%
1024          12              OPT                 21.8182%
2048          4              FIFO                58.1818%
2048          4              LRU                 53.6364%
2048          4              MRU                 58.1818%
2048          4              OPT                 43.6364%
2048          8              FIFO                36.3636%
2048          8              LRU                 30.9091%
2048          8              MRU                 27.2727%
2048          8              OPT                 20%
2048          12              FIFO                16.3636%
2048          12              LRU                 12.7273%
2048          12              MRU                 12.7273%
2048          12              OPT                 12.7273%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
512          8              FIFO                59.3333%
512          8              LRU                 53.3333%
512          8              MRU                 62.6667%
512          8              OPT                 44.6667%
512          12              FIFO                38%
512          12              LRU                 36.6667%
512          12              MRU                 34.6667%
512          12              OPT                 28%
1024          4              FIFO                80.6667%
1024          4              LRU                 79.3333%
1024          4              MRU                 78%
1024          4              OPT                 65.3333%
1024          8              FIFO                52%
1024          8              LRU                 46%
1024          8              MRU                 58%
1024          8              OPT                 40%
1024          12              FIFO                28.6667%
1024          12              LRU                 29.3333%
1024          12              MRU                 34%
1024          12              OPT                 22%
2048          4              FIFO                54%
2048          4              LRU                 49.3333%
2048          4              MRU                 64%
2048          4              OPT                 48%
2048          8              FIFO                30.6667%
2048          8              LRU                 28.6667%
2048          8              MRU                 36%
2048          8              OPT                 21.3333%
2048          12              FIFO                18.6667%
2048          12              LRU                 14.6667%
2048          12              MRU                 17.3333%
2048          12              OPT                 12%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
512          8              FIFO                59.3333%
512          8              LRU                 53.3333%
512          8              MRU                 62.6667%
512          8              OPT                 44.6667%
512          12              FIFO                38%
512          12              LRU                 36.6667%
512          12              MRU                 34.6667%
512          12              OPT                 28%
1024          4              FIFO                80.6667%
1024          4              LRU                 79.3333%
1024          4              MRU                 78%
1024          4              OPT                 65.3333%
1024          8              FIFO                52%
1024          8              LRU                 46%
1024          8              MRU                 58%
1024          8              OPT                 40%
1024          12              FIFO                28.6667%
1024          12              LRU                 29.3333%
1024          12              MRU                 34%
1024          12              OPT                 22%
2048          4              FIFO                54%
2048          4              LRU                 49.3333%
2048          4              MRU                 64%
2048          4              OPT                 48%
2048          8              FIFO                30.6667%
2048          8              LRU                 28.6667%
2048          8              MRU                 36%
2048          8              OPT                 21.3333%
2048          12              FIFO                18.6667%
2048          12              LRU                 14.6667%
2048          12              MRU                 17.3333%
2048          12              OPT                 12%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
512          8              FIFO                59.3333%
512          8              LRU                 53.3333%
512          8              MRU                 62.6667%
512          8              OPT                 44.6667%
512          12              FIFO                38%
512          12              LRU                 36.6667%
512          12              MRU                 34.6667%
512          12              OPT                 28%
1024          4              FIFO                80.6667%
1024          4              LRU                 79.3333%
1024          4              MRU                 78%
1024          4              OPT                 65.3333%
1024          8              FIFO                52%
1024          8              LRU                 46%
1024          8              MRU                 58%
1024          8              OPT                 40%
1024          12              FIFO                28.6667%
1024          12              LRU                 29.3333%
1024          12              MRU                 34%
1024          12              OPT                 22%
2048          4              FIFO                54%
2048          4              LRU                 49.3333%
2048          4              MRU                 64%
2048          4              OPT                 48%
2048          8              FIFO                30.6667%
2048          8              LRU                 28.6667%
2048          8              MRU                 36%
2048          8              OPT                 21.3333%
2048          12              FIFO                18.6667%
2048          12              LRU                 14.6667%
2048          12              MRU                 17.3333%
2048          12              OPT                 12%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
512          8              FIFO                59.3333%
512          8              LRU                 53.3333%
512          8              MRU                 62.6667%
512          8              OPT                 44.6667%
512          12              FIFO                38%
512          12              LRU                 36.6667%
512          12              MRU                 34.6667%
512          12              OPT                 28%
1024          4              FIFO                80.6667%
1024          4              LRU                 79.3333%
1024          4              MRU                 78%
1024          4              OPT                 65.3333%
1024          8              FIFO                52%
1024          8              LRU                 46%
1024          8              MRU                 58%
1024          8              OPT                 40%
1024          12              FIFO                28.6667%
1024          12              LRU                 29.3333%
1024          12              MRU                 34%
1024          12              OPT                 22%
2048          4              FIFO                54%
2048          4              LRU                 49.3333%
2048          4              MRU                 64%
2048          4              OPT                 48%
2048          8              FIFO                30.6667%
2048          8              LRU                 28.6667%
2048          8              MRU                 36%
2048          8              OPT                 21.3333%
2048          12              FIFO                18.6667%
2048          12              LRU                 14.6667%
2048          12              MRU                 17.3333%
2048          12              OPT                 12%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
512          8              FIFO                59.3333%
512          8              LRU                 53.3333%
512          8              MRU                 62.6667%
512          8              OPT                 44.6667%
512          12              FIFO                38%
512          12              LRU                 36.6667%
512          12              MRU                 34.6667%
512          12              OPT                 28%
1024          4              FIFO                80.6667%
1024          4              LRU                 79.3333%
1024          4              MRU                 78%
1024          4              OPT                 65.3333%
1024          8              FIFO                52%
1024          8              LRU                 46%
1024          8              MRU                 58%
1024          8              OPT                 40%
1024          12              FIFO                28.6667%
1024          12              LRU                 29.3333%
1024          12              MRU                 34%
1024          12              OPT                 22%
2048          4              FIFO                54%
2048          4              LRU                 49.3333%
2048          4              MRU                 64%
2048          4              OPT                 48%
2048          8              FIFO                30.6667%
2048          8              LRU                 28.6667%
2048          8              MRU                 36%
2048          8              OPT                 21.3333%
2048          12              FIFO                18.6667%
2048          12              LRU                 14.6667%
2048          12              MRU                 17.3333%
2048          12              OPT                 12%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
Page Size    # of Frames    PR Algorithm        Page Faults % 
512          4              FIFO                83.3333%
512          4              LRU                 82%
512          4              MRU                 80%
512          4              OPT                 68%
